root,count,forms
بين,523,بَيْنَ(232);مُّبِينٌ(44);مُّبِينٍ(38);بَيْنِ(33);بَيِّنَٰتِ(28);بَيِّنَٰتٍ(15);مُبِينُ(15);يُبَيِّنُ(15);مُّبِينًا(13);بَيِّنَةٍ(11);تَبَيَّنَ(9);بَيِّنَٰتُ(7);مُبِينِ(7);يُبَيِّنَ(5);بَيَّ(4);بَيِّنَةٌ(3);بَيِّنَةُ(3);تَبَيَّنُ(3);مُّبَيِّنَةٍ(3);يَتَبَيَّنَ(3);يُبَيِّن(3);بَيَانَ(2);بَيِّنَٰتٌ(2);تُبَيِّنَ(2);تَّبَيَّنَ(2);مُّبَيِّنَٰتٍ(2);نُبَيِّنَ(2);أُبَيِّنَ(1);بَيَانٌ(1);بَيَّنُ(1);بَيِّنٍ(1);بَيِّنَةً(1);بَيِّنَتٍ(1);بَّيْنَ(1);تَبَيَّنَتِ(1);تَسْتَبِينَ(1);تُبَيِّنُ(1);تِبْيَٰنًا(1);مُبَيِّنَٰتٍ(1);مُبِينٌ(1);مُبِينٍ(1);مُسْتَبِينَ(1);نُبَيِّنُ(1);يُبِينُ(1)
شيأ,519,شَىْءٍ(184);يَشَآءُ(113);شَيْـًٔا(77);شَآءَ(56);شِئْ(15);شَىْءٌ(14);تَشَآءُ(11);نَشَآءُ(11);يَشَأْ(8);يَشَآءَ(8);نَّشَآءُ(7);أَشْيَآءَ(4);شَىْءٍۭ(3);نَّشَأْ(3);يَشَإِ(2);أَشَآءُ(1);شَا۟ىْءٍ(1);نَشَٰٓؤُا۟(1)
رسل,513,أَرْسَلْ(75);رَسُولِ(44);رَسُولَ(40);رَسُولُ(29);رُسُلُ(24);مُرْسَلِينَ(24);رَّسُولِ(23);رَّسُولَ(22);رَسُولٌ(19);رَسُولًا(18);رُسُلِ(18);رَّسُولُ(17);رُّسُلِ(12);أُرْسِلْ(10);رُسُلَ(10);رُسُلًا(9);أَرْسِلْ(8);رَّسُولٍ(8);مُرْسَلُونَ(8);أَرْسَلَ(7);رُسُلٌ(7);رِسَٰلَٰتِ(7);رُّسُلُ(7);رَسُولٍ(6);يُرْسِلَ(6);يُرْسِلُ(6);أُرْسِلَ(5);رَّسُولًا(5);رُّسُلَ(5);رُسُلٍ(3);نُرْسِلُ(3);رَسُولٌۢ(2);رِسَالَتَ(2);مُرْسِلِينَ(2);نُرْسِلَ(2);يُرْسِلِ(2);أَرْسَلَتْ(1);أَرْسَلُ(1);أَرْسِلُ(1);أُرْسِلُ(1);رَسُولَا(1);رِسَالَةَ(1);رَّسُولٌ(1);رَّسُولَا۠(1);رُّسُلًا(1);مُرْسَلًا(1);مُرْسَلَٰتِ(1);مُرْسِلَ(1);مُرْسِلَةٌ(1);مُرْسِلُوا۟(1);مُّرْسَلٌ(1);مُّرْسَلُونَ(1);نُّرْسِلَ(1);يُرْسَلُ(1)
يوم,475,يَوْمَ(296);يَوْمِ(73);يَوْمٍ(32);يَوْمُ(19);أَيَّامٍ(18);يَوْمًا(16);يَوْمٌ(9);أَيَّامًا(4);يَوْمَيْنِ(3);أَيَّامِ(2);أَيَّامَ(1);أَيَّامُ(1);أَيَّىٰمِ(1)
أرض,461,أَرْضِ(337);أَرْضَ(87);أَرْضُ(34);أَرْضًا(2);أَرْضٍ(1)
سمو,381,سَّمَٰوَٰتِ(176);سَّمَآءِ(86);مُّسَمًّى(21);سَّمَآءَ(17);سَّمَآءُ(15);ٱسْمُ(11);سَّمَٰوَٰتُ(9);ٱسْمَ(9);أَسْمَآءُ(4);سَمَٰوَٰتٍ(4);سَمَّيْ(4);ٱسْمِ(4);سْمِ(3);أَسْمَآئِ(2);سَمِيًّا(2);أَسْمَآءً(1);أَسْمَآءٌ(1);أَسْمَآءٍ(1);أَسْمَآءَ(1);أَسْمَآءِ(1);أَسْمَٰٓئِ(1);تَسْمِيَةَ(1);تُسَمَّىٰ(1);سَمَآءٍ(1);سَمَآءُ(1);سَمَٰوَاتٍ(1);سَمَّىٰ(1);سَمُّ(1);يُسَمُّ(1)
كلل,377,كُلِّ(191);كُلَّ(59);كُلُّ(58);كُلٌّ(27);كُلًّا(14);كُلٍّ(10);كُلَّمَا(9);كُلَّمَآ(5);كَلَٰلَةً(1);كَلَٰلَةِ(1);كَلٌّ(1);كُلًّۢا(1)
عذب,373,عَذَابٌ(80);عَذَابَ(70);عَذَابِ(70);عَذَابًا(39);عَذَابُ(37);عَذَابٍ(25);يُعَذِّبُ(13);يُعَذِّبَ(8);يُعَذِّبْ(6);مُعَذَّبِينَ(4);أُعَذِّبُ(3);تُعَذِّبْ(2);عَذَّبَ(2);عَذَّبْ(2);عَذْبٌ(2);نُعَذِّبُ(2);أُعَذِّبَ(1);تُعَذِّبَ(1);عَذَابٍۭ(1);مُعَذِّبَ(1);مُعَذِّبُ(1);مُعَذِّبُو(1);مُعَذِّبِينَ(1);نُعَذِّبْ(1)
عمل,360,تَعْمَلُ(83);عَمِلُ(73);يَعْمَلُ(60);أَعْمَٰلَ(21);عَمِلَ(19);أَعْمَٰلُ(16);يَعْمَلْ(10);عَمَلِ(9);ٱعْمَلُ(9);عَمَلًا(8);عَمِلَتْ(6);عَمَلَ(5);عَمَلُ(4);عَٰمِلُونَ(4);عَٰمِلِينَ(4);نَعْمَلُ(3);أَعْمَلَ(2);أَعْمَلُ(2);أَعْمَٰلِ(2);عَمَلٌ(2);عَمَلٍ(2);عَٰمِلٌ(2);نَعْمَلْ(2);ٱعْمَلْ(2);أَعْمَٰلًا(1);أَعْمَٰلٌ(1);تَعْمَلْ(1);تَّعْمَلُ(1);عَامِلٌ(1);عَامِلَةٌ(1);عَمِلْ(1);عَٰمِلٍ(1);نَعْمَلَ(1);يَعْمَلِ(1)
جعل,346,جَعَلْ(117);جَعَلَ(104);يَجْعَلُ(18);جَعَلُ(11);ٱجْعَلْ(11);يَجْعَلَ(10);تَجْعَلُ(9);تَجْعَلْ(9);ٱجْعَل(9);يَجْعَل(8);نَجْعَلَ(6);نَجْعَلُ(6);نَجْعَل(4);يَجْعَلْ(4);جَاعِلُ(2);نَجْعَلِ(2);نَّجْعَلَ(2);ٱجْعَلُ(2);أَجْعَلَ(1);أَجْعَلْ(1);تَجْعَلَ(1);جَاعِلٌ(1);جَاعِلُو(1);جَاعِلِ(1);جَعَلَا(1);جَعَلَتْ(1);جَٰعِلُونَ(1);جُعِلَ(1);نَجْعَلْ(1);يَجْعَلِ(1)
