root,count,forms
جمع,129,جَمِيعًا(48);أَجْمَعِينَ(23);يَجْمَعُ(8);جَمَعَ(4);جَمِيعٌ(4);جَمْعَانِ(4);أَجْمَعُونَ(3);جَمَعْ(3);جَمْعًا(3);جَمْعِ(3);أَجْمَعُ(2);أَجْمِعُ(2);جَامِعُ(2);جَمْعُ(2);جُمِعَ(2);مَجْمَعَ(2);يَجْمَعَ(2);تَجْمَعُ(1);جَامِعٍ(1);جَمَعُ(1);جَمِيعًۢا(1);جَمْعَ(1);جُمُعَةِ(1);مَجْمُوعُونَ(1);مَّجْمُوعٌ(1);مُّجْتَمِعُونَ(1);نَّجْمَعَ(1);ٱجْتَمَعَتِ(1);ٱجْتَمَعُ(1)
سأل,129,يَسْـَٔلُ(25);سَأَلْ(13);أَسْـَٔلُ(11);تُسْـَٔلُ(9);يَتَسَآءَلُ(8);تَسْـَٔلُ(7);سْـَٔلُ(6);يُسْـَٔلُ(6);سْـَٔلْ(5);سَأَلَ(4);سَّآئِلِينَ(3);سْـَٔلِ(3);مَسْـُٔولًا(3);نَسْـَٔلَ(3);تَسْـَٔلْ(2);سَلْ(2);سَّآئِلِ(2);يَسْـَٔلْ(2);أَسْـَٔلَ(1);تَسَآءَلُ(1);سَأَلُ(1);سَآئِلٌۢ(1);سُؤَالِ(1);سُؤْلَ(1);سُئِلَ(1);سُئِلَتْ(1);سُئِلُ(1);سَّآئِلَ(1);مَّسْـُٔولًا(1);مَّسْـُٔولُونَ(1);نَسْـَٔلُ(1);نُسْـَٔلُ(1);يَسْـَٔلَ(1)
طوع,129,أَطِيعُ(30);يَسْتَطِيعُ(17);أَطَعْ(11);ٱسْتَطَعْ(9);تُطِعْ(7);تُطِيعُ(6);يُطِعِ(6);تَسْتَطِيعَ(4);تُطِعِ(4);طَوْعًا(4);ٱسْتَطَٰعُ(4);طَاعَةٌ(3);أَطَاعُ(2);تَسْتَطِيعُ(2);تَطَوَّعَ(2);نُطِيعُ(2);يَسْتَطِعْ(2);يُطِيعُ(2);أَطَاعَ(1);أَطِعْ(1);تَسْتَطِع(1);تَسْطِع(1);طَآئِعِينَ(1);طَوَّعَتْ(1);مُطَّوِّعِينَ(1);مُّطَاعٍ(1);يُطَاعَ(1);يُطَاعُ(1);ٱسْتَطَاعَ(1);ٱسْطَٰعُ(1)
نظر,129,يَنظُرُ(31);ٱنظُرْ(28);ٱنظُرُ(10);يُنظَرُ(6);ٱنتَظِرُ(5);تَنظُرُ(4);مُنظَرِينَ(4);نَّٰظِرِينَ(4);أَنظِرْ(3);تُنظِرُ(3);مُنتَظِرِينَ(3);نَظَرَ(3);مُنتَظِرُونَ(2);يَنتَظِرُ(2);يَنظُرِ(2);يَنظُرْ(2);أَنظُرْ(1);تَنظُرْ(1);مُنظَرُونَ(1);مُّنتَظِرُونَ(1);مُّنظَرِينَ(1);نَاظِرَةٌ(1);نَاظِرَةٌۢ(1);نَظِرَةٌ(1);نَظْرَةً(1);نَنظُرَ(1);نَنظُرُ(1);نَنظُرْ(1);نَٰظِرِينَ(1);نَّظَرَ(1);يَنظُرَ(1);ٱنتَظِرْ(1);ٱنظُرِ(1)
عظم,128,عَظِيمٌ(31);عَظِيمًا(21);عَظِيمِ(19);عَظِيمٍ(18);عَظِيمُ(16);عِظَٰمًا(9);أَعْظَمُ(2);عِظَٰمَ(2);يُعَظِّمْ(2);أَعْظَمَ(1);عَظِيمًۢا(1);عَظِيمَ(1);عَظْمٍ(1);عَظْمُ(1);عِظَامَ(1);عِظَامِ(1);يُعْظِمْ(1)
أهل,127,أَهْلِ(60);أَهْلَ(46);أَهْلُ(15);أَهْلِي(5);أَهْلُو(1)
خلف,127,خَلْفَ(11);ٱخْتَلَفُ(11);يَخْتَلِفُ(10);خَلْفِ(9);تَخْتَلِفُ(6);يُخْلِفُ(5);خَلَٰٓئِفَ(4);خِلَٰفٍ(4);ٱخْتَلَفَ(4);ٱخْتِلَٰفِ(4);أَخْلَفْ(3);خُلَفَآءَ(3);مُخَلَّفُونَ(3);خَلَفَ(2);خَلِيفَةً(2);خَلْفٌ(2);خَوَالِفِ(2);خِلَٰفَ(2);مُخْتَلِفًا(2);مُّخْتَلِفًا(2);مُّخْتَلِفٌ(2);يَسْتَخْلِفَ(2);يُخْلِفَ(2);ٱخْتَلَفْ(2);ٱخْتُلِفَ(2);ٱخْتِلَٰفُ(2);أَخْلَفُ(1);أُخَالِفَ(1);تُخْلَفَ(1);تُخْلِفُ(1);خَلَفْ(1);خَٰلِفِينَ(1);خُلِّفُ(1);خِلْفَةً(1);مُخَلَّفِينَ(1);مُخْتَلِفٌ(1);مُخْتَلِفُونَ(1);مُخْتَلِفِينَ(1);مُخْلِفَ(1);مُّخْتَلِفٍ(1);مُّسْتَخْلَفِينَ(1);نُخْلِفُ(1);يَتَخَلَّفُ(1);يَخْلُفُ(1);يَسْتَخْلِفُ(1);يَسْتَخْلِفْ(1);يُخَالِفُ(1);ٱخْتِلَٰفًا(1);ٱخْلُفْ(1);ٱسْتَخْلَفَ(1)
دخل,126,ٱدْخُلُ(21);يَدْخُلُ(13);دَخَلُ(10);يُدْخِلُ(10);تَدْخُلُ(8);دَخَلَ(6);يُدْخِلْ(6);أَدْخِلْ(5);دَخَلْ(5);يُدْخِلَ(5);أُدْخِلَ(4);ٱدْخُلِ(4);أَدْخَلْ(3);نُدْخِلُ(3);دَخَلًۢا(2);مُّدْخَلًا(2);نَّدْخُلَ(2);يَدْخُلَ(2);أَدْخِلُ(1);أُدْخِلُ(1);تُدْخِلِ(1);دَخَلَتْ(1);دَٰخِلُونَ(1);دُخِلَتْ(1);دَّخَلُ(1);دَّٰخِلِينَ(1);مُدَّخَلًا(1);مُدْخَلَ(1);نُدْخِلَ(1);نُدْخِلْ(1);يَدْخُلِ(1);يُدْخَلَ(1);ٱدْخُلَ(1)
أول,125,أَوَّلِينَ(32);أُولَىٰ(18);أَوَّلَ(16);ءَالَ(13);ءَالِ(9);تَأْوِيلِ(9);أَوَّلُونَ(6);أَوَّلُ(4);أَوَّلِ(4);تَأْوِيلُ(4);ءَالُ(3);أُولَىٰٓ(2);تَأْوِيلًا(2);تَأْوِيلَ(2);ـَٔالِ(1)
خوف,124,أَخَافُ(23);يَخَافُ(18);خَوْفٌ(14);خِفْ(10);تَخَفْ(9);تَخَافُ(7);خَافَ(6);خَوْفًا(4);خَوْفِ(4);خِيفَةً(4);يُخَوِّفُ(3);تَخَافَ(2);خَافُ(2);خَآئِفًا(2);خَوْفُ(2);خِيفَتِ(2);نَخَافُ(2);تَخَافِى(1);تَخَوُّفٍ(1);تَخَٰفُ(1);تَخْوِيفًا(1);خَافَتْ(1);خَآئِفِينَ(1);خَوْفٍ(1);خَوْفٍۭ(1);نُخَوِّفُ(1);يَخَافَ(1)
بشر,123,بَشَرٌ(16);بُشْرَىٰ(15);بَشِّرِ(12);بَشَرًا(10);بَشِّرْ(7);يَسْتَبْشِرُ(6);بَشَرٍ(5);بَشَرِ(5);بَشَّرْ(5);يُبَشِّرُ(5);بَشِيرًا(4);مُبَشِّرًا(4);بَشِيرٌ(3);بُشِّرَ(3);بُشْرًۢا(3);مُبَشِّرِينَ(3);نُبَشِّرُ(2);أَبْشِرُ(1);بَشَرَيْنِ(1);بَشِيرٍ(1);بَشِيرُ(1);بَشَّرُ(1);بَٰشِرُ(1);تُبَشِّرَ(1);تُبَشِّرُ(1);تُبَٰشِرُ(1);مُبَشِّرًۢا(1);مُبَشِّرَٰتٍ(1);مُّبَشِّرِينَ(1);مُّسْتَبْشِرَةٌ(1);يُبَشِّرَ(1);ٱسْتَبْشِرُ(1)
رزق,123,رَزَقْ(20);رَزَقَ(14);رِزْقًا(13);رِّزْقَ(11);يَرْزُقُ(10);رِزْقُ(8);رِزْقٌ(6);رَّٰزِقِينَ(5);رِّزْقِ(5);رِزْقَ(4);رِّزْقًا(3);رِّزْقٍ(3);نَرْزُقُ(3);ٱرْزُقْ(3);يُرْزَقُ(2);ٱرْزُقُ(2);تَرْزُقُ(1);تُرْزَقَ(1);رَٰزِقِينَ(1);رُزِقُ(1);رُزِقْ(1);رِزْقٍ(1);رِزْقِ(1);رَّزَقْ(1);رَّزَّاقُ(1);يَرْزُقَ(1);يَرْزُقْ(1)
عزز,120,عَزِيزُ(46);عَزِيزٌ(23);عَزِيزِ(18);عَزِيزًا(7);عَزِيزٍ(5);عِزَّةَ(4);أَعَزُّ(3);عِزَّةُ(3);عِزَّةِ(2);أَعِزَّةٍ(1);أَعِزَّةَ(1);تُعِزُّ(1);عَزَّ(1);عَزَّزْ(1);عِزًّا(1);عِزَّةٍ(1);عِزَّتِ(1);ٱلْعُزَّىٰ(1)
يدي,120,أَيْدِي(43);يَدَيْ(18);أَيْدِيَ(17);يَدِ(10);يَدَ(8);يَدَىْ(6);أَيْدِى(4);يَدَا(4);يَدَىَّ(3);يَدُ(2);أَيْدٍ(1);أَيْدِىَ(1);يَدٍ(1);يَدَآ(1);يَدَىِ(1)
أمم,119,أُمَّةٍ(23);أُمَّةً(14);أُمِّ(11);أُمَّةٌ(10);أُمُّ(7);أُمَمٍ(6);أُمَّهَٰتِ(6);أُمَّ(5);أُمَّهَٰتُ(5);أَئِمَّةً(4);أُمَمٌ(4);إِمَامًا(4);أُمِّيِّۦنَ(3);أُمَمًا(2);أُمَّةٍۭ(2);أُمَّتُ(2);إِمَامٍ(2);ءَآمِّينَ(1);أَئِمَّةَ(1);أَمَامَ(1);أُمَمِ(1);أُمِّىَّ(1);أُمِّىِّ(1);أُمِّيُّونَ(1);ؤُمَّ(1);إِمَٰمِ(1)
جزي,118,نَجْزِى(21);جَزَآءُ(11);تُجْزَ(9);جَزَآءً(8);يَجْزِىَ(8);جَزَآءًۢ(7);جَزَآؤُ(7);يُجْزَ(6);جَزَٰٓؤُا۟(4);نَجْزِيَ(4);يَجْزِى(4);يَجْزِيَ(4);تُجْزَىٰ(3);جَزَيْ(3);جَزَٰٓؤُ(3);تَجْزِى(2);يَجْزِي(2);يُجْزَىٰٓ(2);تُجْزَىٰٓ(1);جَازٍ(1);جَزَآءٌ(1);جَزَآءَ(1);جَزَىٰ(1);جِزْيَةَ(1);نَجْزِي(1);نُجَٰزِىٓ(1);يُجْزَى(1);يُجْزَىٰ(1)
أبو,117,ءَابَآؤُ(26);ءَابَآءَ(20);أَبِي(16);ءَابَآئِ(14);أَبَا(10);أَبَتِ(8);أَبَوَيْ(5);أَبُو(5);أَبِ(3);ءَابَآءِ(2);أَبَوَا(2);ـَٔابَآئِ(2);أَبًا(1);أَبَآ(1);أَبِى(1);أَبِىٓ(1)
نهر,113,أَنْهَٰرُ(40);نَّهَارِ(28);نَّهَارَ(24);أَنْهَٰرًا(4);أَنْهَٰرٌ(4);أَنْهَٰرَ(3);نَهَارًا(3);تَنْهَرْ(2);نَهَرٍ(2);نَهَرًا(1);نَّهَارٍۭ(1);نَّهَارُ(1)
نفق,111,يُنفِقُ(28);مُنَٰفِقِينَ(19);أَنفَقُ(11);تُنفِقُ(11);أَنفِقُ(9);مُنَٰفِقُونَ(8);أَنفَقْ(5);مُنَٰفِقَٰتِ(3);أَنفَقَ(2);مُنَٰفِقَٰتُ(2);نَافَقُ(2);نِفَاقًا(2);يُنفِقْ(2);إِنفَاقِ(1);مُنفِقِينَ(1);نَفَقًا(1);نَفَقَةً(1);نَفَقَٰتُ(1);نَّفَقَةٍ(1);نِّفَاقِ(1)
أكل,109,تَأْكُلُ(29);كُلُ(28);يَأْكُلُ(19);أَكَلَ(4);أَكْلِ(3);أُكُلَ(3);يَأْكُلَ(3);ءَاكِلُونَ(2);أُكُلُ(2);تَأْكُلْ(2);كُلَ(2);كُلِ(2);يَأْكُلْ(2);ءَاكِلِينَ(1);أَكَلُ(1);أَكَّٰلُونَ(1);أَكْلًا(1);أُكُلٍ(1);أُكُلِ(1);مَّأْكُولٍۭ(1);نَّأْكُلَ(1)
حسب,109,حِسَابِ(19);يَحْسَبُ(15);حَسْبُ(8);تَحْسَبُ(7);حِسَابٍ(7);تَحْسَبَ(6);حَسِبْ(6);حَسِبَ(5);حِسَابُ(5);حَسِيبًا(4);حِسَابًا(4);حِسَابَ(4);يَحْتَسِبُ(3);يَحْسَبَ(3);حَسْبِ(2);حَٰسِبِينَ(2);حُسْبَانًا(2);حَاسَبْ(1);حَسِبَتْ(1);حَسِبُ(1);حَسْبَ(1);حُسْبَانٍ(1);يُحَاسَبُ(1);يُحَاسِبْ(1)
أجر,108,أَجْرًا(27);أَجْرٌ(16);أَجْرَ(16);أَجْرُ(14);أُجُورَ(12);أَجْرٍ(11);أَجْرِ(9);تَأْجُرَ(1);ٱسْتَـْٔجَرْ(1);ٱسْتَـْٔجِرْ(1)
فعل,108,يَفْعَلُ(26);تَفْعَلُ(16);فَعَلْ(11);فَعَلُ(9);فَعَلَ(8);يَفْعَلْ(8);فَٰعِلِينَ(6);مَفْعُولًا(6);فَعَّالٌ(2);فَٰعِلُونَ(2);نَفْعَلُ(2);ٱفْعَلُ(2);تَفْعَلْ(1);فَاعِلٌ(1);فَعْلَتَ(1);فُعِلَ(1);فِعْلَ(1);مَّفْعُولًا(1);نَّفْعَلَ(1);يُفْعَلَ(1);يُفْعَلُ(1);ٱفْعَلْ(1)
وجد,107,تَجِدُ(19);يَجِدُ(17);وَجَدْ(15);تَجِدَ(14);وَجَدَ(13);يَجِدْ(9);وَجَد(6);أَجِدُ(4);وَجَدُ(4);أَجِدَ(2);نَجِدْ(1);وُجِدَ(1);وُجْدِ(1);يَجِدِ(1)
عدو,106,عَدُوٌّ(20);عَدُوًّا(10);تَعْتَدُ(5);عَدُوِّ(5);عُدْوَٰنِ(5);مُعْتَدِينَ(5);عَدُوَّ(4);ٱعْتَدَىٰ(4);أَعْدَآءً(3);عَادٍ(3);عَادُونَ(3);مُعْتَدٍ(3);يَتَعَدَّ(3);يَعْتَدُ(3);تَعْدُ(2);عَدَٰوَةَ(2);عَدُوٍّ(2);عُدْوَةِ(2);عُدْوَٰنَ(2);أَعْدَآءَ(1);أَعْدَآءُ(1);أَعْدَآءِ(1);أَعْدَآئِ(1);عَادَيْ(1);عَدَاوَةَ(1);عَدَٰوَةً(1);عَدَٰوَةٌ(1);عَدَٰوَةُ(1);عَدُوٌّۢ(1);عَدُوُّ(1);عَدْوًا(1);عَدْوًۢا(1);عَٰدِيَٰتِ(1);عُدْوَٰنًا(1);مُعْتَدُونَ(1);يَعْدُ(1);ٱعْتَدَ(1);ٱعْتَدَيْ(1);ٱعْتَدُ(1)
رجع,104,تُرْجَعُ(25);يَرْجِعُ(19);مَرْجِعُ(12);يُرْجَعُ(7);ٱرْجِعُ(7);رَٰجِعُونَ(4);رَجَعُ(3);رَجَعْ(3);مَّرْجِعُ(3);ٱرْجِعِ(3);ٱرْجِعْ(3);تَرْجِعُ(2);رَجَعَ(2);أَرْجِعُ(1);رَجْعٌۢ(1);رَجْعِ(1);رَّجَعَ(1);رَّجَعْ(1);رَّجْعِ(1);رُّجِعْ(1);رُّجْعَىٰٓ(1);مَرْجِعَ(1);يَتَرَاجَعَ(1);يَرْجِعَ(1)
فضل,104,فَضْلِ(40);فَضْلُ(15);فَضْلٍ(12);فَضْلًا(10);فَضَّلْ(8);فَضَّلَ(7);فَضْلَ(5);تَفْضِيلًا(2);فَضْلٌ(1);فَضْلٍۭ(1);فُضِّلُ(1);نُفَضِّلُ(1);يَتَفَضَّلَ(1)
صبر,103,ٱصْبِرْ(19);صَبَرُ(15);صَّٰبِرِينَ(15);صَبْرًا(8);تَصْبِرُ(7);ٱصْبِرُ(6);صَبَرْ(4);صَبَّارٍ(4);صَّبْرِ(4);ٱصْطَبِرْ(3);صَابِرًا(2);صَبَرَ(2);صَبْرٌ(2);صَّٰبِرُونَ(2);أَصْبَرَ(1);صَابِرَةٌ(1);صَابِرُ(1);صَبْرُ(1);صَٰبِرُونَ(1);صَّٰبِرَٰتِ(1);نَصْبِرَ(1);نَّصْبِرَ(1);يَصْبِرُ(1);يَصْبِرْ(1)
أذن,102,إِذْنِ(39);ءَاذَانِ(8);يَسْتَـْٔذِنُ(7);أَذِنَ(5);ءَاذَانٌ(3);ءَاذَنَ(3);يُؤْذَنَ(3);أَذِنَتْ(2);أَذَّنَ(2);أُذُنٌ(2);تَأَذَّنَ(2);يَأْذَنَ(2);يُؤْذَنُ(2);ٱسْتَـْٔذَنَ(2);ٱسْتَـْٔذَنُ(2);ءَاذَ(1);ءَاذَانَ(1);ءَاذَن(1);أَذَٰنٌ(1);أَذِن(1);أَذِّن(1);أُذُنَ(1);أُذُنَيْ(1);أُذُنُ(1);أُذُنِ(1);أُذِنَ(1);أْذَن(1);أْذَنُ(1);مُؤَذِّنٌ(1);مُؤَذِّنٌۢ(1);يَأْذَنۢ(1);يَسْتَـْٔذِن(1);ٱئْذَن(1)
شدد,102,أَشَدُّ(19);شَدِيدُ(16);شَدِيدٌ(13);أَشَدَّ(11);شَدِيدًا(11);أَشُدَّ(8);شَدِيدٍ(7);شَدَدْ(2);شَدِيدٌۢ(2);شِدَادٌ(2);ٱشْدُدْ(2);أَشَدِّ(1);أَشِدَّآءُ(1);شَدِيدِ(1);شُدُّ(1);شِدَادًا(1);شَّدِيدَ(1);شَّدِيدِ(1);نَشُدُّ(1);ٱشْتَدَّتْ(1)
ولد,102,وَلَدًا(15);وَلَدٌ(12);أَوْلَٰدُ(10);وَٰلِدَيْنِ(7);أَوْلَٰدَ(6);وَٰلِدَيْ(6);أَوْلَٰدِ(5);وَٰلِدَىَّ(4);وَلَدِ(3);وَٰلِدَانِ(3);وِلْدَٰنِ(3);أَوْلَٰدًا(2);مَوْلُودٌ(2);وَلَدٍ(2);وَلَدَ(2);وَٰلِدَتِ(2);وِلْدَٰنٌ(2);أَلِدُ(1);مَوْلُودِ(1);وَالِدٌ(1);وَالِدٍ(1);وَالِدِ(1);وَلَدُ(1);وَلَدْ(1);وَلِيدًا(1);وَٰلِدَةٌۢ(1);وَٰلِدَٰتُ(1);وُلِد(1);وُلِدَ(1);وِلْدَٰنَ(1);يَلِدُ(1);يَلِدْ(1);يُولَدْ(1)
دين,101,دِّينِ(33);دِينِ(19);دِينَ(13);دِّينَ(13);دِّينُ(7);دَيْنٍ(5);دِينًا(4);دِينُ(3);تَدَايَن(1);مَدِينُونَ(1);مَدِينِينَ(1);يَدِينُ(1)
صلو,99,صَّلَوٰةَ(47);صَّلَوٰةِ(17);صَلَاتِ(7);مُصَلِّينَ(3);يُصَلُّ(3);صَلَوَٰتٌ(2);صَلَوَٰتِ(2);صَلَوٰةِ(2);صَلَّىٰ(2);صَلِّ(2);يُصَلِّى(2);تُصَلِّ(1);صَلَاتَ(1);صَلَاتُ(1);صَلَوٰتَ(1);صَلَوٰتُ(1);صَلَّىٰٓ(1);صَلُّ(1);صَّلَوَٰتِ(1);صَّلَوٰةُ(1);مُصَلًّى(1)
صحب,97,أَصْحَٰبُ(50);أَصْحَٰبِ(15);أَصْحَٰبَ(12);صَاحِبُ(3);صَاحِبِ(3);صَىٰحِبَ(2);صَٰحِبَتِ(2);صَٰحِبِ(2);أَصْحَٰبٌ(1);تُصَٰحِبْ(1);صَاحِبَ(1);صَاحِبْ(1);صَٰحِبَةً(1);صَٰحِبَةٌ(1);صَّاحِبِ(1);يُصْحَبُ(1)
أخو,96,أَخَا(18);أَخِي(16);إِخْوَٰنِ(11);أَخِ(8);أَخُو(7);إِخْوَٰنُ(6);أَخَوَٰتِ(3);أُخْتِ(3);إِخْوَتِ(3);إِخْوَٰنَ(3);أَخٌ(2);أَخَوَٰتُ(2);أُخْتٌ(2);أُخْتَ(2);إِخْوَةٌ(2);إِخْوَٰنًا(2);أَخٍ(1);أَخَوَيْ(1);أُخْتَيْنِ(1);أُخْتُ(1);إِخْوَةً(1);إِخْوَةُ(1)
بغي,96,ٱبْتِغَآءَ(12);تَبْتَغُ(11);يَبْغُ(9);يَبْتَغُ(7);يَنۢبَغِى(6);بَغْيًۢا(4);ٱبْتَغُ(4);بَاغٍ(3);تَبْغُ(3);بَغَىٰ(2);بَغِيًّا(2);بَغْيًا(2);ٱبْتَغَ(2);ٱبْتَغَىٰ(2);ٱبْتَغِ(2);أَبْتَغِى(1);أَبْغِى(1);أَبْغِي(1);بَغَ(1);بَغَتْ(1);بَغْىَ(1);بَغْىُ(1);بَغْىِ(1);بَغْيُ(1);بَغْيِ(1);بُغِىَ(1);بِغَآءِ(1);تَبْتَغِى(1);تَبْتَغِىَ(1);تَبْغِ(1);تَبْغِى(1);نَبْتَغِى(1);نَبْغِ(1);نَبْغِى(1);يَبْتَغِ(1);يَبْغِى(1);يَبْغِيَ(1);ٱبْتَغَيْ(1);ٱبْتِغَآءِ(1);ٱبْتِغَآؤُ(1)
قرب,96,قُرْبَىٰ(15);قَرِيبٌ(10);أَقْرَبُ(9);قَرِيبًا(9);تَقْرَبُ(8);قَرِيبٍ(7);أَقْرَبِينَ(4);مُقَرَّبُونَ(4);مُقَرَّبِينَ(4);أَقْرَبَ(3);أَقْرَبُونَ(3);ٱقْتَرَبَ(3);تَقْرَبَ(2);قَرَّبَ(2);قُرْبَانًا(2);تُقَرِّبُ(1);قَرَّبْ(1);قُرُبَٰتٍ(1);قُرْبَانٍ(1);قُرْبَةٌ(1);قُرْبَىٰٓ(1);مَقْرَبَةٍ(1);يَقْرَبُ(1);يُقَرِّبُ(1);ٱقْتَرَبَتِ(1);ٱقْتَرِب(1)
حبب,95,يُحِبُّ(50);تُحِبُّ(10);حَبَّةٍ(5);حَبًّا(4);حُبِّ(4);حُبًّا(3);ٱسْتَحَبُّ(3);أَحَبُّ(2);أَحْبَبْ(2);أَحَبَّ(1);أَحِبَّٰٓؤُ(1);أُحِبُّ(1);حَبَّ(1);حَبَّبَ(1);حَبُّ(1);حَبِّ(1);حُبَّ(1);حُبُّ(1);مَحَبَّةً(1);يَسْتَحِبُّ(1);يُحْبِبْ(1)
سبح,92,سُبْحَٰنَ(40);سَبِّحْ(15);يُسَبِّحُ(13);تُسَبِّحُ(3);سَبَّحَ(3);تَسْبِيحَ(2);سَبِّحُ(2);سَبْحًا(2);يَسْبَحُ(2);يُسَبِّحْ(2);سَبَّحُ(1);سَبِّحِ(1);سُبْحَانَ(1);سَّٰبِحَٰتِ(1);مُسَبِّحُونَ(1);مُسَبِّحِينَ(1);نُسَبِّحَ(1);نُسَبِّحُ(1)
سجد,92,مَسْجِدِ(14);سُجَّدًا(11);ٱسْجُدُ(9);يَسْجُدُ(8);سَجَدُ(6);سُّجُودِ(6);سَٰجِدِينَ(5);سَّٰجِدِينَ(5);مَسَٰجِدَ(4);مَسْجِدَ(3);تَسْجُدَ(2);سَجَدَ(2);مَسْجِدٍ(2);ٱسْجُدْ(2);أَسْجُدَ(1);أَسْجُدُ(1);تَسْجُدُ(1);سَاجِدًا(1);سَّٰجِدُونَ(1);مَسَٰجِدُ(1);مَسَٰجِدِ(1);مَسْجِدًا(1);مَسْجِدٌ(1);مَّسْجِدًا(1);نَسْجُدُ(1);يَسْجُدَ(1);ٱسْجُدِ(1)
ليل,92,يْلِ(44);يْلَ(25);لَيْلًا(5);يْلُ(4);لَيَالٍ(3);لَيْلَةً(3);لَيْلَةُ(2);لَيَالِىَ(1);لَيْلٍ(1);لَيْلَ(1);لَيْلَةٍ(1);لَيْلَةَ(1);لَيْلَةِ(1)
ليس,89,لَيْسَ(65);لَّيْسَ(9);لَسْ(6);لَّسْ(4);لَيْسَتِ(3);لَيْسُ(1);لَّيْسُ(1)
شطن,88,شَّيْطَٰنُ(34);شَّيْطَٰنِ(20);شَّيْطَٰنَ(10);شَّيَٰطِينَ(7);شَّيَٰطِينِ(5);شَيْطَٰنٍ(4);شَّيَٰطِينُ(4);شَيْطَٰنًا(2);شَيَٰطِينَ(1);شَيَٰطِينِ(1)
قرأ,88,قُرْءَانَ(27);قُرْءَانِ(19);قُرْءَانًا(8);قُرْءَانُ(8);قَرَأْ(3);قُرْءَانٌ(3);قُرْءَانٍ(3);ٱقْرَءُ(3);ٱقْرَأْ(3);قُرِئَ(2);قُرْءَٰنًا(2);يَقْرَءُ(2);تَقْرَأَ(1);قَرَأَ(1);قُرُوٓءٍ(1);نُقْرِئُ(1);نَّقْرَؤُ(1)
توب,87,تَابَ(18);يَتُوبُ(12);تَابُ(10);تُوبُ(7);تُبْ(6);تَّوَّابُ(6);يَتُوبَ(6);تَوَّابًا(2);تَوَّابٌ(2);تَوْبَةً(2);تَّوْبَةَ(2);تَّوْبَةُ(2);أَتُوبُ(1);تَتُوبَ(1);تَوَّابًۢا(1);تَوْبَتُ(1);تَٰٓئِبَٰتٍ(1);تَّابَ(1);تَّوَّٰبِينَ(1);تَّوْبِ(1);تَّٰٓئِبُونَ(1);مَتَابًا(1);مَتَابِ(1);يَتُبْ(1)
خلد,87,خَٰلِدِينَ(44);خَٰلِدُونَ(25);خُلْدِ(5);خَٰلِدًا(3);أَخْلَدَ(2);مُّخَلَّدُونَ(2);تَخْلُدُ(1);خَٰلِدٌ(1);خَٰلِدَيْنِ(1);خُلُودِ(1);خُلْدَ(1);يَخْلُدْ(1)
مول,86,أَمْوَٰلِ(26);أَمْوَٰلَ(19);أَمْوَٰلُ(10);مَالًا(7);مَالَ(7);مَالُ(4);أَمْوَٰلًا(3);أَمْوَٰلٍ(2);مَالٍ(2);مَالِ(2);أَمْوَٰلٌ(1);مَالٌ(1);مَّالٍ(1);مَّالِ(1)
أحد,85,أَحَدًا(19);أَحَدٍ(19);أَحَدٌ(12);أَحَدَ(9);أَحَدُ(9);إِحْدَىٰ(6);إِحْدَى(5);أَحَدِ(4);أَحَدًۢا(1);أَحَدٌۢ(1)
نجو,84,نَجَّيْ(17);أَنجَيْ(15);نَجِّ(6);نَجَّىٰ(5);نَّجْوَىٰ(5);أَنجَىٰ(4);نَجْوَىٰ(4);مُنَجُّو(2);نَجِيًّا(2);نُنَجِّى(2);يُنَجِّي(2);تَتَنَٰجَ(1);تَنَٰجَ(1);تَنَٰجَيْ(1);تُنجِي(1);نَاجٍ(1);نَجَا(1);نَجَوْ(1);نَجْوَىٰٓ(1);نَٰجَيْ(1);نُجِّىَ(1);نُنجِ(1);نُنَجِّي(1);نُنَجِّيَ(1);نُۨجِى(1);نَّجَوٰةِ(1);نَّجَّيْ(1);نَّجْوَى(1);يَتَنَٰجَ(1);يُنجِي(1);يُنَجِّى(1)
حرم,83,حَرَّمَ(20);حَرَامِ(16);حَرَّمْ(7);حَرَامَ(6);حُرُمٌ(3);حُرِّمَ(3);حُرِّمَتْ(3);يُحَرِّمُ(3);تُحَرِّمُ(2);حَرَمًا(2);مَحْرُومُونَ(2);مَحْرُومِ(2);مُحَرَّمٌ(2);حَرَامًا(1);حَرَامٌ(1);حَرَامُ(1);حَرَٰمٌ(1);حَرَّمُ(1);حُرُمًا(1);حُرُمَٰتُ(1);حُرُمَٰتِ(1);حُرُمُ(1);مُحَرَّمًا(1);مُحَرَّمَةٌ(1);مُحَرَّمِ(1)
سوي,83,يَسْتَوِى(11);سَوَآءٌ(10);سَوَّىٰ(9);ٱسْتَوَىٰ(9);سَوَآءً(5);سَوَآءِ(5);سَوَآءَ(4);سَوِيًّا(4);يَسْتَ(3);ٱسْتَوَىٰٓ(3);تَسْتَوِى(2);سَوَآءٍ(2);سَوَّيْ(2);يَسْتَوِيَ(2);ٱسْتَوَيْ(2);تَسْتَوُ(1);تُسَوَّىٰ(1);سَاوَىٰ(1);سَوَآءٍۭ(1);سُوًى(1);سَّوِىِّ(1);نُسَوِّي(1);نُّسَوِّىَ(1);يَسْتَوِىٓ(1);ٱسْتَوَتْ(1)
كيف,83,كَيْفَ(83)
